joint_id,x_m,y_m,z_m
1,6.00000,6.00000,-45.50000
2,6.00000,6.00000,-45.00000
3,5.96700,5.96700,-44.00100
4,5.93900,5.93900,-43.12700
5,5.33300,5.33300,-24.61400
6,-6.00000,6.00000,-45.50000
7,-6.00000,6.00000,-45.00000
8,-5.96700,5.96700,-44.00100
9,-5.93900,5.93900,-43.12700
10,-5.33300,5.33300,-24.61400
11,-6.00000,-6.00000,-45.50000
12,-6.00000,-6.00000,-45.00000
13,-5.96700,-5.96700,-44.00100
14,-5.93900,-5.93900,-43.12700
15,-5.33300,-5.33300,-24.61400
16,6.00000,-6.00000,-45.50000
17,6.00000,-6.00000,-45.00000
18,5.96700,-5.96700,-44.00100
19,5.93900,-5.93900,-43.12700
20,5.33300,-5.33300,-24.61400
21,4.82000,4.82000,-8.92200
22,4.38500,4.38500,4.37800
23,4.01600,4.01600,15.65100
24,4.00000,4.00000,16.15000
25,-4.82000,4.82000,-8.92200
26,-4.38500,4.38500,4.37800
27,-4.01600,4.01600,15.65100
28,-4.00000,4.00000,16.15000
29,-4.82000,-4.82000,-8.92200
30,-4.38500,-4.38500,4.37800
31,-4.01600,-4.01600,15.65100
32,-4.00000,-4.00000,16.15000
33,4.82000,-4.82000,-8.92200
34,4.38500,-4.38500,4.37800
35,4.01600,-4.01600,15.65100
36,4.00000,-4.00000,16.15000
37,5.62000,0.00000,-33.37300
38,-5.62000,0.00000,-33.37300
39,0.00000,5.62000,-33.37300
40,0.00000,-5.62000,-33.37300
41,5.06400,0.00000,-16.37100
42,-5.06400,0.00000,-16.37100
43,0.00000,5.06400,-16.37100
44,0.00000,-5.06400,-16.37100
45,4.59200,0.00000,-1.95800
46,-4.59200,0.00000,-1.95800
47,0.00000,4.59200,-1.95800
48,0.00000,-4.59200,-1.95800
49,4.19300,0.00000,10.26200
50,-4.19300,0.00000,10.26200
51,0.00000,4.19300,10.26200
52,0.00000,-4.19300,10.26200
53,4.00000,4.00000,20.15000
54,-4.00000,4.00000,20.15000
55,4.00000,-4.00000,20.15000
56,-4.00000,-4.00000,20.15000
57,6.00000,-6.00000,-49.50000
58,6.00000,6.00000,-49.50000
59,-6.00000,-6.00000,-49.50000
60,-6.00000,6.00000,-49.50000
61,6.00000,-6.00000,-50.00100
62,6.00000,6.00000,-50.00100
63,-6.00000,-6.00000,-50.00100
64,-6.00000,6.00000,-50.00100
