member_id,joint_i,joint_j,prop_set
1,1,2,2
2,2,3,2
3,3,4,2
4,4,5,2
5,6,7,2
6,7,8,2
7,8,9,2
8,9,10,2
9,11,12,2
10,12,13,2
11,13,14,2
12,14,15,2
13,16,17,2
14,17,18,2
15,18,19,2
16,19,20,2
17,5,21,3
18,21,22,3
19,22,23,3
20,23,24,3
21,10,25,3
22,25,26,3
23,26,27,3
24,27,28,3
25,15,29,3
26,29,30,3
27,30,31,3
28,31,32,3
29,20,33,3
30,33,34,3
31,34,35,3
32,35,36,3
33,8,3,1
34,13,8,1
35,13,18,1
36,18,3,1
37,4,37,1
38,37,20,1
39,19,37,1
40,37,5,1
41,9,38,1
42,38,15,1
43,14,38,1
44,38,10,1
45,4,39,1
46,39,10,1
47,9,39,1
48,39,5,1
49,19,40,1
50,40,15,1
51,14,40,1
52,40,20,1
53,5,41,1
54,41,33,1
55,20,41,1
56,41,21,1
57,10,42,1
58,42,29,1
59,15,42,1
60,42,25,1
61,5,43,1
62,43,25,1
63,10,43,1
64,43,21,1
65,20,44,1
66,44,29,1
67,15,44,1
68,44,33,1
69,21,45,1
70,45,34,1
71,33,45,1
72,45,22,1
73,25,46,1
74,46,30,1
75,29,46,1
76,46,26,1
77,21,47,1
78,47,26,1
79,25,47,1
80,47,22,1
81,33,48,1
82,48,30,1
83,29,48,1
84,48,34,1
85,22,49,1
86,49,35,1
87,34,49,1
88,49,23,1
89,26,50,1
90,50,31,1
91,30,50,1
92,50,27,1
93,22,51,1
94,51,27,1
95,26,51,1
96,51,23,1
97,34,52,1
98,52,31,1
99,30,52,1
100,52,35,1
101,24,53,4
102,28,54,4
103,32,56,4
104,36,55,4
105,58,1,5
106,57,16,5
107,60,6,5
108,59,11,5
109,62,58,6
110,61,57,6
111,64,60,6
112,63,59,6
